epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4614.4,1.45662,3.5429,1.10166,0.36071,0.68405,0.46735,0.29133,1.36308,2.14219,1.07789,0.00333082,0.00333082,0.00333082
2,9001.66,1.34102,1.87992,1.08344,0.89346,0.91807,0.96348,0.58945,1.43651,1.2013,1.09309,0.0065322,0.0065322,0.0065322
3,13584.4,1.33289,1.37205,1.0992,0.94862,0.96056,0.98866,0.66453,1.2035,0.90849,1.0524,0.00960159,0.00960159,0.00960159
4,21269.9,1.30102,1.0802,1.10071,0.97243,0.98035,0.99133,0.69985,1.11303,0.65756,1.02203,0.009406,0.009406,0.009406
5,26796.1,1.27247,0.87336,1.0932,0.99246,0.9934,0.99465,0.71341,1.08141,0.52296,1.01066,0.009208,0.009208,0.009208
6,34749.9,1.24924,0.77189,1.0842,0.99569,0.99816,0.99495,0.72918,1.05026,0.4656,0.99916,0.00901,0.00901,0.00901
7,42776.5,1.23324,0.71657,1.07404,0.99793,0.99809,0.99484,0.72296,1.07274,0.4407,0.99471,0.008812,0.008812,0.008812
8,3964.59,1.22446,0.6851,1.07151,0.99704,0.99915,0.99497,0.74687,0.99702,0.41006,0.97814,0.008614,0.008614,0.008614
9,7471.45,1.21267,0.65736,1.06517,0.99826,0.99905,0.99494,0.75327,0.97733,0.38931,0.96333,0.008416,0.008416,0.008416
10,11599,1.21017,0.64593,1.06472,0.99814,0.9992,0.9948,0.76359,0.94453,0.37864,0.95706,0.008218,0.008218,0.008218
11,17521.7,1.19569,0.62336,1.05605,0.99856,0.99918,0.995,0.77608,0.91118,0.36157,0.9409,0.00802,0.00802,0.00802
12,25456.8,1.19175,0.60727,1.05308,0.99863,0.99959,0.995,0.77205,0.93119,0.35908,0.94841,0.007822,0.007822,0.007822
13,32240.5,1.18514,0.59534,1.05018,0.99903,0.9995,0.995,0.78244,0.90289,0.34731,0.94109,0.007624,0.007624,0.007624
14,35777.2,1.17745,0.58646,1.04542,0.99914,0.99968,0.995,0.78713,0.88663,0.34046,0.93274,0.007426,0.007426,0.007426
15,39222.7,1.17781,0.58043,1.0481,0.99876,0.99951,0.995,0.79287,0.87389,0.33351,0.93056,0.007228,0.007228,0.007228
16,47407.4,1.17297,0.57214,1.04265,0.99926,0.99988,0.995,0.79792,0.84582,0.33069,0.91805,0.00703,0.00703,0.00703
17,56880,1.17315,0.56784,1.04315,0.9991,0.99984,0.995,0.80783,0.81881,0.31872,0.91145,0.006832,0.006832,0.006832
18,66461.9,1.16971,0.56042,1.04089,0.99897,0.99961,0.995,0.81715,0.78944,0.31742,0.90149,0.006634,0.006634,0.006634
19,77323.2,1.15811,0.55622,1.03873,0.99926,0.99994,0.995,0.80424,0.84536,0.317,0.91666,0.006436,0.006436,0.006436
20,85802,1.12484,0.54711,1.02754,0.99921,1,0.995,0.8136,0.8018,0.31056,0.89991,0.006238,0.006238,0.006238
